Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DateTime
60 F,40 F,47 %,S,12 mph,0 mph,30.24 in,0.0 in,Mostly Cloudy,2019-11-04T15:00:00Z
57 F,41 F,55 %,S,9 mph,0 mph,30.24 in,0.0 in,Mostly Cloudy,2019-11-04T16:00:00Z
56 F,40 F,55 %,SSE,10 mph,0 mph,30.24 in,0.0 in,Mostly Cloudy,2019-11-04T17:00:00Z
54 F,40 F,59 %,SSE,9 mph,0 mph,30.24 in,0.0 in,Mostly Cloudy,2019-11-04T18:00:00Z
54 F,42 F,64 %,S,12 mph,0 mph,30.24 in,0.0 in,Mostly Cloudy,2019-11-04T19:00:00Z
52 F,43 F,71 %,S,7 mph,0 mph,30.24 in,0.0 in,Mostly Cloudy,2019-11-04T20:00:00Z
51 F,43 F,74 %,SSW,3 mph,0 mph,30.25 in,0.0 in,Mostly Cloudy,2019-11-04T21:00:00Z
51 F,44 F,77 %,CALM,0 mph,0 mph,30.24 in,0.0 in,Mostly Cloudy,2019-11-04T22:00:00Z
49 F,44 F,83 %,SSW,7 mph,0 mph,30.24 in,0.0 in,Mostly Cloudy,2019-11-04T23:00:00Z
48 F,44 F,86 %,WSW,3 mph,0 mph,30.23 in,0.0 in,Partly Cloudy,2019-11-05T00:00:00Z
47 F,43 F,86 %,CALM,0 mph,0 mph,30.22 in,0.0 in,Partly Cloudy,2019-11-05T01:00:00Z
45 F,43 F,93 %,CALM,0 mph,0 mph,30.21 in,0.0 in,Partly Cloudy,2019-11-05T02:00:00Z
46 F,43 F,89 %,CALM,0 mph,0 mph,30.21 in,0.0 in,Partly Cloudy,2019-11-05T03:00:00Z
45 F,42 F,90 %,CALM,0 mph,0 mph,30.21 in,0.0 in,Partly Cloudy,2019-11-05T04:00:00Z
45 F,43 F,93 %,SW,5 mph,0 mph,30.19 in,0.0 in,Partly Cloudy,2019-11-05T05:00:00Z
45 F,43 F,93 %,SW,5 mph,0 mph,30.19 in,0.0 in,Partly Cloudy,2019-11-05T06:00:00Z
48 F,44 F,86 %,SW,5 mph,0 mph,30.20 in,0.0 in,Partly Cloudy,2019-11-05T07:00:00Z
51 F,44 F,77 %,SSW,8 mph,0 mph,30.21 in,0.0 in,Partly Cloudy,2019-11-05T08:00:00Z
53 F,44 F,71 %,S,9 mph,0 mph,30.19 in,0.0 in,Mostly Cloudy,2019-11-05T09:00:00Z
55 F,45 F,69 %,SSE,7 mph,0 mph,30.19 in,0.0 in,Mostly Cloudy,2019-11-05T10:00:00Z
58 F,43 F,58 %,S,5 mph,0 mph,30.17 in,0.0 in,Mostly Cloudy,2019-11-05T11:00:00Z
61 F,44 F,54 %,S,8 mph,0 mph,30.15 in,0.0 in,Mostly Cloudy,2019-11-05T12:00:00Z
63 F,42 F,46 %,SSE,7 mph,0 mph,30.15 in,0.0 in,Mostly Cloudy,2019-11-05T13:00:00Z
62 F,42 F,48 %,S,7 mph,0 mph,30.15 in,0.0 in,Mostly Cloudy,2019-11-05T14:00:00Z
63 F,41 F,45 %,S,7 mph,0 mph,30.15 in,0.0 in,Mostly Cloudy,2019-11-05T15:00:00Z
60 F,42 F,51 %,S,7 mph,0 mph,30.16 in,0.0 in,Mostly Cloudy,2019-11-05T16:00:00Z
58 F,42 F,56 %,SSE,3 mph,0 mph,30.16 in,0.0 in,Mostly Cloudy,2019-11-05T17:00:00Z
55 F,46 F,72 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Partly Cloudy,2019-11-05T18:00:00Z
53 F,46 F,77 %,NE,3 mph,0 mph,30.19 in,0.0 in,Partly Cloudy,2019-11-05T19:00:00Z
53 F,42 F,66 %,NNW,6 mph,0 mph,30.21 in,0.0 in,Mostly Cloudy,2019-11-05T20:00:00Z
51 F,40 F,66 %,N,8 mph,0 mph,30.23 in,0.0 in,Mostly Cloudy,2019-11-05T21:00:00Z
52 F,40 F,63 %,NNW,7 mph,0 mph,30.26 in,0.0 in,Partly Cloudy,2019-11-05T22:00:00Z
51 F,40 F,66 %,N,7 mph,0 mph,30.27 in,0.0 in,Fair,2019-11-05T23:00:00Z
50 F,40 F,68 %,N,8 mph,0 mph,30.28 in,0.0 in,Fair,2019-11-06T00:00:00Z
49 F,40 F,71 %,N,10 mph,0 mph,30.29 in,0.0 in,Fair,2019-11-06T01:00:00Z
48 F,39 F,71 %,N,7 mph,0 mph,30.31 in,0.0 in,Fair,2019-11-06T02:00:00Z
46 F,38 F,73 %,NNW,8 mph,0 mph,30.34 in,0.0 in,Fair,2019-11-06T03:00:00Z
46 F,36 F,68 %,NNW,14 mph,0 mph,30.37 in,0.0 in,Fair,2019-11-06T04:00:00Z
45 F,34 F,65 %,NNW,8 mph,0 mph,30.39 in,0.0 in,Fair,2019-11-06T05:00:00Z
45 F,33 F,63 %,NNW,7 mph,0 mph,30.42 in,0.0 in,Fair,2019-11-06T06:00:00Z
50 F,34 F,54 %,VAR,3 mph,0 mph,30.44 in,0.0 in,Fair,2019-11-06T07:00:00Z
52 F,34 F,50 %,N,8 mph,0 mph,30.46 in,0.0 in,Fair,2019-11-06T08:00:00Z
53 F,33 F,47 %,N,8 mph,0 mph,30.47 in,0.0 in,Fair,2019-11-06T09:00:00Z
56 F,33 F,42 %,VAR,3 mph,0 mph,30.47 in,0.0 in,Fair,2019-11-06T10:00:00Z
57 F,31 F,37 %,NNW,6 mph,0 mph,30.45 in,0.0 in,Fair,2019-11-06T11:00:00Z
58 F,30 F,35 %,CALM,0 mph,0 mph,30.41 in,0.0 in,Fair,2019-11-06T12:00:00Z
59 F,32 F,36 %,S,3 mph,0 mph,30.40 in,0.0 in,Fair,2019-11-06T13:00:00Z
59 F,31 F,35 %,CALM,0 mph,0 mph,30.38 in,0.0 in,Fair,2019-11-06T14:00:00Z
58 F,35 F,42 %,S,8 mph,0 mph,30.38 in,0.0 in,Fair,2019-11-06T15:00:00Z
55 F,36 F,49 %,S,7 mph,0 mph,30.38 in,0.0 in,Fair,2019-11-06T16:00:00Z
55 F,42 F,62 %,S,3 mph,0 mph,30.38 in,0.0 in,Fair,2019-11-06T17:00:00Z
52 F,39 F,61 %,SSE,5 mph,0 mph,30.38 in,0.0 in,Fair,2019-11-06T18:00:00Z
51 F,38 F,61 %,S,7 mph,0 mph,30.38 in,0.0 in,Fair,2019-11-06T19:00:00Z
50 F,37 F,61 %,S,10 mph,0 mph,30.37 in,0.0 in,Fair,2019-11-06T20:00:00Z
49 F,39 F,69 %,S,10 mph,0 mph,30.38 in,0.0 in,Mostly Cloudy,2019-11-06T21:00:00Z
47 F,39 F,74 %,S,7 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy,2019-11-06T22:00:00Z
46 F,39 F,76 %,SSW,5 mph,0 mph,30.36 in,0.0 in,Partly Cloudy,2019-11-06T23:00:00Z
46 F,40 F,79 %,S,7 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy,2019-11-07T00:00:00Z
48 F,40 F,74 %,S,8 mph,0 mph,30.31 in,0.0 in,Cloudy,2019-11-07T01:00:00Z
48 F,40 F,74 %,SSW,7 mph,0 mph,30.29 in,0.0 in,Cloudy,2019-11-07T02:00:00Z
48 F,41 F,77 %,S,7 mph,0 mph,30.28 in,0.0 in,Cloudy,2019-11-07T03:00:00Z
49 F,42 F,77 %,S,12 mph,0 mph,30.25 in,0.0 in,Cloudy,2019-11-07T04:00:00Z
49 F,40 F,71 %,S,7 mph,0 mph,30.25 in,0.0 in,Cloudy,2019-11-07T05:00:00Z
50 F,40 F,68 %,SSW,9 mph,0 mph,30.23 in,0.0 in,Mostly Cloudy,2019-11-07T06:00:00Z
50 F,41 F,71 %,S,7 mph,0 mph,30.23 in,0.0 in,Cloudy,2019-11-07T07:00:00Z
51 F,42 F,71 %,S,14 mph,0 mph,30.21 in,0.0 in,Cloudy,2019-11-07T08:00:00Z
53 F,40 F,61 %,S,12 mph,0 mph,30.20 in,0.0 in,Cloudy,2019-11-07T09:00:00Z
54 F,42 F,64 %,SSW,10 mph,0 mph,30.17 in,0.0 in,Cloudy,2019-11-07T10:00:00Z
56 F,44 F,64 %,S,12 mph,0 mph,30.13 in,0.0 in,Cloudy,2019-11-07T11:00:00Z
57 F,46 F,67 %,SW,12 mph,0 mph,30.07 in,0.0 in,Cloudy,2019-11-07T12:00:00Z
60 F,47 F,62 %,SSW,8 mph,0 mph,30.04 in,0.0 in,Cloudy,2019-11-07T13:00:00Z
61 F,48 F,62 %,SSW,5 mph,0 mph,30.00 in,0.0 in,Cloudy,2019-11-07T14:00:00Z
61 F,48 F,62 %,WNW,6 mph,0 mph,30.00 in,0.0 in,Cloudy,2019-11-07T15:00:00Z
59 F,49 F,69 %,N,10 mph,0 mph,30.03 in,0.0 in,Light Rain,2019-11-07T16:00:00Z
55 F,51 F,86 %,N,9 mph,0 mph,30.05 in,0.0 in,Light Rain,2019-11-07T17:00:00Z
55 F,51 F,86 %,N,8 mph,0 mph,30.05 in,0.0 in,Light Rain,2019-11-07T18:00:00Z
54 F,50 F,86 %,NNW,12 mph,0 mph,30.04 in,0.0 in,Light Rain,2019-11-07T19:00:00Z
52 F,49 F,89 %,N,8 mph,0 mph,30.05 in,0.0 in,Light Rain,2019-11-07T20:00:00Z
50 F,44 F,80 %,NNW,20 mph,0 mph,30.07 in,0.0 in,Light Rain,2019-11-07T21:00:00Z
49 F,41 F,74 %,NNW,15 mph,0 mph,30.09 in,0.0 in,Cloudy,2019-11-07T22:00:00Z
47 F,37 F,68 %,NNW,10 mph,22 mph,30.10 in,0.0 in,Cloudy,2019-11-07T23:00:00Z
45 F,35 F,68 %,NNW,16 mph,0 mph,30.11 in,0.0 in,Cloudy,2019-11-08T00:00:00Z
44 F,32 F,63 %,NNW,16 mph,26 mph,30.13 in,0.0 in,Cloudy,2019-11-08T01:00:00Z
42 F,31 F,65 %,NNW,13 mph,0 mph,30.13 in,0.0 in,Fair,2019-11-08T02:00:00Z
41 F,30 F,65 %,NNW,16 mph,23 mph,30.14 in,0.0 in,Mostly Cloudy,2019-11-08T03:00:00Z
41 F,24 F,51 %,NNW,16 mph,28 mph,30.17 in,0.0 in,Mostly Cloudy,2019-11-08T04:00:00Z
39 F,24 F,55 %,NNW,18 mph,0 mph,30.20 in,0.0 in,Partly Cloudy,2019-11-08T05:00:00Z
38 F,21 F,51 %,NW,14 mph,26 mph,30.22 in,0.0 in,Partly Cloudy,2019-11-08T06:00:00Z
39 F,22 F,50 %,NNW,14 mph,25 mph,30.25 in,0.0 in,Partly Cloudy,2019-11-08T07:00:00Z
40 F,22 F,49 %,NNW,23 mph,29 mph,30.27 in,0.0 in,Fair / Windy,2019-11-08T08:00:00Z
42 F,22 F,45 %,NNW,16 mph,26 mph,30.28 in,0.0 in,Fair,2019-11-08T09:00:00Z
42 F,21 F,43 %,NNW,17 mph,24 mph,30.28 in,0.0 in,Partly Cloudy,2019-11-08T10:00:00Z
43 F,22 F,43 %,NW,14 mph,0 mph,30.27 in,0.0 in,Mostly Cloudy,2019-11-08T11:00:00Z
44 F,22 F,42 %,NNW,16 mph,0 mph,30.26 in,0.0 in,Mostly Cloudy,2019-11-08T12:00:00Z
43 F,19 F,38 %,WNW,15 mph,22 mph,30.26 in,0.0 in,Mostly Cloudy,2019-11-08T13:00:00Z
43 F,19 F,38 %,NNW,14 mph,26 mph,30.26 in,0.0 in,Mostly Cloudy,2019-11-08T14:00:00Z
42 F,19 F,40 %,NW,14 mph,0 mph,30.27 in,0.0 in,Mostly Cloudy,2019-11-08T15:00:00Z
41 F,19 F,41 %,NW,10 mph,0 mph,30.29 in,0.0 in,Mostly Cloudy,2019-11-08T16:00:00Z
40 F,19 F,43 %,WNW,13 mph,18 mph,30.31 in,0.0 in,Partly Cloudy,2019-11-08T17:00:00Z
39 F,20 F,46 %,WNW,10 mph,0 mph,30.34 in,0.0 in,Mostly Cloudy,2019-11-08T18:00:00Z
39 F,20 F,46 %,W,8 mph,0 mph,30.35 in,0.0 in,Partly Cloudy,2019-11-08T19:00:00Z
38 F,19 F,47 %,WNW,12 mph,0 mph,30.36 in,0.0 in,Partly Cloudy,2019-11-08T20:00:00Z
37 F,18 F,46 %,NW,10 mph,0 mph,30.38 in,0.0 in,Partly Cloudy,2019-11-08T21:00:00Z
36 F,19 F,50 %,NNW,10 mph,0 mph,30.37 in,0.0 in,Mostly Cloudy,2019-11-08T22:00:00Z
35 F,19 F,52 %,NNW,10 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy,2019-11-08T23:00:00Z
34 F,19 F,54 %,NW,10 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy,2019-11-09T00:00:00Z
33 F,20 F,59 %,NNW,9 mph,0 mph,30.35 in,0.0 in,Mostly Cloudy,2019-11-09T01:00:00Z
32 F,22 F,66 %,NNW,5 mph,0 mph,30.35 in,0.0 in,Mostly Cloudy,2019-11-09T02:00:00Z
31 F,22 F,69 %,NNW,5 mph,0 mph,30.35 in,0.0 in,Mostly Cloudy,2019-11-09T03:00:00Z
32 F,23 F,69 %,ENE,7 mph,0 mph,30.36 in,0.0 in,Fair,2019-11-09T04:00:00Z
32 F,23 F,69 %,ENE,7 mph,0 mph,30.37 in,0.0 in,Fair,2019-11-09T05:00:00Z
32 F,21 F,64 %,ENE,5 mph,0 mph,30.36 in,0.0 in,Fair,2019-11-09T06:00:00Z
35 F,22 F,59 %,CALM,0 mph,0 mph,30.37 in,0.0 in,Fair,2019-11-09T07:00:00Z
37 F,22 F,54 %,ESE,6 mph,0 mph,30.37 in,0.0 in,Partly Cloudy,2019-11-09T08:00:00Z
39 F,23 F,53 %,SE,3 mph,0 mph,30.35 in,0.0 in,Fair,2019-11-09T09:00:00Z
42 F,23 F,47 %,S,8 mph,0 mph,30.34 in,0.0 in,Fair,2019-11-09T10:00:00Z
43 F,22 F,43 %,S,8 mph,0 mph,30.31 in,0.0 in,Partly Cloudy,2019-11-09T11:00:00Z
45 F,23 F,42 %,S,13 mph,0 mph,30.26 in,0.0 in,Mostly Cloudy,2019-11-09T12:00:00Z
44 F,21 F,40 %,SW,9 mph,0 mph,30.23 in,0.0 in,Mostly Cloudy,2019-11-09T13:00:00Z
45 F,24 F,44 %,S,8 mph,0 mph,30.22 in,0.0 in,Mostly Cloudy,2019-11-09T14:00:00Z
45 F,24 F,44 %,S,9 mph,0 mph,30.21 in,0.0 in,Mostly Cloudy,2019-11-09T15:00:00Z
43 F,24 F,47 %,SSE,10 mph,0 mph,30.20 in,0.0 in,Mostly Cloudy,2019-11-09T16:00:00Z
41 F,26 F,55 %,SSE,5 mph,0 mph,30.20 in,0.0 in,Mostly Cloudy,2019-11-09T17:00:00Z
41 F,26 F,55 %,SSE,7 mph,0 mph,30.20 in,0.0 in,Mostly Cloudy,2019-11-09T18:00:00Z
40 F,27 F,60 %,SSE,7 mph,0 mph,30.19 in,0.0 in,Partly Cloudy,2019-11-09T19:00:00Z
38 F,27 F,65 %,SSW,5 mph,0 mph,30.20 in,0.0 in,Mostly Cloudy,2019-11-09T20:00:00Z
39 F,27 F,62 %,SSE,8 mph,0 mph,30.18 in,0.0 in,Partly Cloudy,2019-11-09T21:00:00Z
39 F,30 F,70 %,S,6 mph,0 mph,30.18 in,0.0 in,Mostly Cloudy,2019-11-09T22:00:00Z
37 F,30 F,76 %,SSW,5 mph,0 mph,30.17 in,0.0 in,Mostly Cloudy,2019-11-09T23:00:00Z
37 F,31 F,79 %,WSW,3 mph,0 mph,30.15 in,0.0 in,Cloudy,2019-11-10T00:00:00Z
37 F,32 F,82 %,SW,3 mph,0 mph,30.13 in,0.0 in,Cloudy,2019-11-10T01:00:00Z
37 F,32 F,82 %,SSW,5 mph,0 mph,30.12 in,0.0 in,Cloudy,2019-11-10T02:00:00Z
39 F,32 F,76 %,SSW,9 mph,0 mph,30.10 in,0.0 in,Fair,2019-11-10T03:00:00Z
40 F,30 F,68 %,SSW,7 mph,0 mph,30.11 in,0.0 in,Cloudy,2019-11-10T04:00:00Z
40 F,31 F,70 %,S,8 mph,0 mph,30.10 in,0.0 in,Cloudy,2019-11-10T05:00:00Z
40 F,29 F,65 %,SSW,9 mph,0 mph,30.10 in,0.0 in,Mostly Cloudy,2019-11-10T06:00:00Z
41 F,30 F,65 %,SSW,8 mph,0 mph,30.12 in,0.0 in,Mostly Cloudy,2019-11-10T07:00:00Z
43 F,31 F,62 %,S,7 mph,0 mph,30.11 in,0.0 in,Mostly Cloudy,2019-11-10T08:00:00Z
47 F,34 F,61 %,S,9 mph,0 mph,30.11 in,0.0 in,Partly Cloudy,2019-11-10T09:00:00Z
49 F,33 F,54 %,SSE,9 mph,0 mph,30.10 in,0.0 in,Partly Cloudy,2019-11-10T10:00:00Z
52 F,34 F,50 %,S,10 mph,0 mph,30.06 in,0.0 in,Mostly Cloudy,2019-11-10T11:00:00Z
53 F,36 F,52 %,S,13 mph,0 mph,30.04 in,0.0 in,Mostly Cloudy,2019-11-10T12:00:00Z
55 F,35 F,47 %,S,8 mph,0 mph,30.04 in,0.0 in,Cloudy,2019-11-10T13:00:00Z
55 F,37 F,51 %,SSE,5 mph,0 mph,30.03 in,0.0 in,Cloudy,2019-11-10T14:00:00Z
55 F,37 F,51 %,S,5 mph,0 mph,30.03 in,0.0 in,Mostly Cloudy,2019-11-10T15:00:00Z
53 F,39 F,59 %,SSE,5 mph,0 mph,30.03 in,0.0 in,Mostly Cloudy,2019-11-10T16:00:00Z
53 F,36 F,52 %,SSW,6 mph,0 mph,30.03 in,0.0 in,Mostly Cloudy,2019-11-10T17:00:00Z
51 F,36 F,56 %,SW,3 mph,0 mph,30.04 in,0.0 in,Mostly Cloudy,2019-11-10T18:00:00Z
50 F,43 F,77 %,CALM,0 mph,0 mph,30.05 in,0.0 in,Mostly Cloudy,2019-11-10T19:00:00Z
49 F,41 F,74 %,CALM,0 mph,0 mph,30.04 in,0.0 in,Mostly Cloudy,2019-11-10T20:00:00Z
48 F,39 F,71 %,SSW,3 mph,0 mph,30.03 in,0.0 in,Mostly Cloudy,2019-11-10T21:00:00Z
48 F,39 F,71 %,CALM,0 mph,0 mph,30.03 in,0.0 in,Partly Cloudy,2019-11-10T22:00:00Z
47 F,43 F,86 %,CALM,0 mph,0 mph,30.04 in,0.0 in,Partly Cloudy,2019-11-10T23:00:00Z
45 F,42 F,90 %,CALM,0 mph,0 mph,30.05 in,0.0 in,Fair,2019-11-11T00:00:00Z
45 F,40 F,82 %,NNE,3 mph,0 mph,30.04 in,0.0 in,Fair,2019-11-11T01:00:00Z
45 F,41 F,86 %,CALM,0 mph,0 mph,30.05 in,0.0 in,Fair,2019-11-11T02:00:00Z
42 F,39 F,89 %,SW,3 mph,0 mph,30.05 in,0.0 in,Partly Cloudy,2019-11-11T03:00:00Z
43 F,40 F,89 %,CALM,0 mph,0 mph,30.06 in,0.0 in,Mostly Cloudy,2019-11-11T04:00:00Z
42 F,39 F,89 %,CALM,0 mph,0 mph,30.07 in,0.0 in,Mostly Cloudy,2019-11-11T05:00:00Z
42 F,39 F,89 %,SSW,3 mph,0 mph,30.08 in,0.0 in,Mostly Cloudy,2019-11-11T06:00:00Z
45 F,42 F,90 %,SSW,5 mph,0 mph,30.09 in,0.0 in,Mostly Cloudy,2019-11-11T07:00:00Z
48 F,44 F,86 %,S,6 mph,0 mph,30.09 in,0.0 in,Mostly Cloudy,2019-11-11T08:00:00Z
51 F,44 F,77 %,S,7 mph,0 mph,30.08 in,0.0 in,Mostly Cloudy,2019-11-11T09:00:00Z
55 F,44 F,67 %,S,8 mph,0 mph,30.06 in,0.0 in,Mostly Cloudy,2019-11-11T10:00:00Z
60 F,43 F,53 %,S,8 mph,0 mph,30.04 in,0.0 in,Mostly Cloudy,2019-11-11T11:00:00Z
64 F,43 F,46 %,S,7 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy,2019-11-11T12:00:00Z
68 F,41 F,37 %,S,9 mph,0 mph,29.97 in,0.0 in,Mostly Cloudy,2019-11-11T13:00:00Z
67 F,40 F,37 %,S,10 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy,2019-11-11T14:00:00Z
64 F,43 F,46 %,S,12 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,2019-11-11T15:00:00Z
63 F,42 F,46 %,SSE,13 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy,2019-11-11T16:00:00Z
60 F,44 F,55 %,S,9 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy,2019-11-11T17:00:00Z
58 F,45 F,62 %,S,9 mph,0 mph,29.88 in,0.0 in,Partly Cloudy,2019-11-11T18:00:00Z
56 F,47 F,72 %,S,12 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,2019-11-11T19:00:00Z
57 F,47 F,69 %,S,12 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,2019-11-11T20:00:00Z
58 F,45 F,62 %,S,13 mph,0 mph,29.84 in,0.0 in,Cloudy,2019-11-11T21:00:00Z
60 F,42 F,51 %,SSW,14 mph,0 mph,29.82 in,0.0 in,Cloudy,2019-11-11T22:00:00Z
60 F,41 F,49 %,SSW,14 mph,0 mph,29.80 in,0.0 in,Cloudy,2019-11-11T23:00:00Z
